product_id,product_name,category,price,in_stock,added_date,discount_percent,brand
P121,Its Plus,Home & Kitchen,105.9,233,2024-06-16,4.66,Philips
P122,Develop Max,Electronics,128.35,90,2024-08-26,1.01,Puma
P123,Above Pro,Apparel,131.44,233,2024-09-23,24.37,Apple
P124,Century Plus,Apparel,97.91,284,2024-06-08,,Samsung
P125,Question Plus,Electronics,163.53,40,2025-03-27,,Puma
P126,Might Lite,Home & Kitchen,167.53,262,2023-12-18,25.24,Samsung
P127,Husband Max,Home & Kitchen,185.48,93,2024-06-18,0.58,Nike
P128,Note Pro,Books,130.85,357,2023-06-13,11.69,Sony
P129,Bar Max,Home & Kitchen,184.09,474,2024-08-04,,Sony
P130,Side Lite,Home & Kitchen,122.81,317,2024-05-09,20.17,Philips
P131,Soldier Lite,Apparel,10.98,410,2023-05-04,28.48,Samsung
P132,Democrat Plus,Electronics,29.06,179,2024-03-13,,Levi’s
P133,Practice Pro,Home & Kitchen,94.01,283,2024-12-01,20.85,Philips
P134,Here Pro,Electronics,109.44,205,2023-12-21,25.75,Adidas
P135,Because Pro,Toys,23.67,423,2024-11-21,,Puma
P136,Agency Pro,Books,193.79,78,2024-12-09,18.77,Adidas
P137,System Pro,Electronics,78.45,80,2023-10-25,20.88,Apple
P138,Positive Max,Apparel,129.82,124,2025-02-23,28.02,Puma
P139,Ahead Pro,Books,191.92,320,2024-07-22,1.33,Nike
P140,Treat Plus,Home & Kitchen,38.15,121,2024-05-25,4.91,Levi’s
P141,Hold Lite,Home & Kitchen,175.92,70,2023-08-20,23.12,Apple
P142,Make Pro,Books,145.1,88,2023-11-09,0.59,Puma
P143,Break Pro,Electronics,14.21,473,2024-07-26,,Apple
P144,Likely Max,Books,158.6,214,2023-11-25,27.41,Puma
P145,Unit Max,Apparel,75.99,110,2025-02-02,2.19,Levi’s
P146,Discuss Plus,Electronics,89.15,223,2024-02-14,11.45,Levi’s
P147,If Max,Books,82.43,297,2024-11-22,,Adidas
P148,Move Plus,Toys,77.5,11,2025-04-12,23.39,Nike
P149,Group Plus,Electronics,124.14,444,2023-10-17,28.92,Samsung
P150,Than Pro,Apparel,144.13,13,2024-07-24,21.93,Levi’s
