product_id,product_name,category,price,in_stock,added_date,discount_percent,brand,stock,is_expensive
P109,Somebody Max,Books,20.2,229,2023-07-20,21.41,Samsung,229,False
P110,Society Max,Apparel,90.9,33,2023-08-21,19.04,Adidas,33,False
P111,Would Plus,Books,176.95,396,2024-02-23,9.83,Adidas,396,False
P112,Majority Pro,Books,7.14,128,2024-10-23,11.94,Levi’s,128,False
P113,Now Lite,Electronics,118.62,181,2023-10-03,3.8,Adidas,181,False
P114,Wait Plus,Electronics,82.63,471,2024-02-02,1.25,Puma,471,False
P115,Sea Plus,Electronics,18.53,367,2023-05-29,,Philips,367,False
P116,Against Pro,Home & Kitchen,185.99,432,2024-03-03,0.76,Levi’s,432,False
P117,Despite Max,Home & Kitchen,84.25,72,2023-06-30,12.13,Adidas,72,False
P118,Too Pro,Apparel,29.45,68,2024-03-08,21.16,Sony,68,False
P119,Pay Pro,Toys,139.78,357,2024-07-08,28.49,Puma,357,False
P120,Tv Pro,Electronics,114.16,416,2024-12-27,24.01,Puma,416,False
P121,Its Plus,Home & Kitchen,105.9,233,2024-06-16,4.66,Philips,233,False
P122,Develop Max,Electronics,128.35,90,2024-08-26,1.01,Puma,90,False
P123,Above Pro,Apparel,131.44,233,2024-09-23,24.37,Apple,233,False
P124,Century Plus,Apparel,97.91,284,2024-06-08,,Samsung,284,False
P125,Question Plus,Electronics,163.53,40,2025-03-27,,Puma,40,False
P126,Might Lite,Home & Kitchen,167.53,262,2023-12-18,25.24,Samsung,262,False
P127,Husband Max,Home & Kitchen,185.48,93,2024-06-18,0.58,Nike,93,False
P128,Note Pro,Books,130.85,357,2023-06-13,11.69,Sony,357,False
P129,Bar Max,Home & Kitchen,184.09,474,2024-08-04,,Sony,474,False
P130,Side Lite,Home & Kitchen,122.81,317,2024-05-09,20.17,Philips,317,False
P131,Soldier Lite,Apparel,10.98,410,2023-05-04,28.48,Samsung,410,False
P132,Democrat Plus,Electronics,29.06,179,2024-03-13,,Levi’s,179,False
P133,Practice Pro,Home & Kitchen,94.01,283,2024-12-01,20.85,Philips,283,False
P134,Here Pro,Electronics,109.44,205,2023-12-21,25.75,Adidas,205,False
P135,Because Pro,Toys,23.67,423,2024-11-21,,Puma,423,False
P136,Agency Pro,Books,193.79,78,2024-12-09,18.77,Adidas,78,False
P137,System Pro,Electronics,78.45,80,2023-10-25,20.88,Apple,80,False
P138,Positive Max,Apparel,129.82,124,2025-02-23,28.02,Puma,124,False
P139,Ahead Pro,Books,191.92,320,2024-07-22,1.33,Nike,320,False
P140,Treat Plus,Home & Kitchen,38.15,121,2024-05-25,4.91,Levi’s,121,False
P141,Hold Lite,Home & Kitchen,175.92,70,2023-08-20,23.12,Apple,70,False
P142,Make Pro,Books,145.1,88,2023-11-09,0.59,Puma,88,False
P143,Break Pro,Electronics,14.21,473,2024-07-26,,Apple,473,False
P144,Likely Max,Books,158.6,214,2023-11-25,27.41,Puma,214,False
P145,Unit Max,Apparel,75.99,110,2025-02-02,2.19,Levi’s,110,False
P146,Discuss Plus,Electronics,89.15,223,2024-02-14,11.45,Levi’s,223,False
P147,If Max,Books,82.43,297,2024-11-22,,Adidas,297,False
P148,Move Plus,Toys,77.5,11,2025-04-12,23.39,Nike,11,False
P149,Group Plus,Electronics,124.14,444,2023-10-17,28.92,Samsung,444,False
P150,Than Pro,Apparel,144.13,13,2024-07-24,21.93,Levi’s,13,False
